Close Price,High Price,Low Price,Open Price,Date
634.76,635.13,623.85,632.35,2012-10-15
649.793,650.3,631,635.37,2012-10-16
644.614,652.79,644,648.87,2012-10-17
632.64,642.06,630,639.59,2012-10-18
609.84,631.77,609.62,631.05,2012-10-19
634.03,635.38,610.76,612.42,2012-10-22
613.355,633.9,611.7,631,2012-10-23
616.83,626.55,610.64,621.44,2012-10-24
609.538,622,605.55,620,2012-10-25
604,614,591,609.43,2012-10-26
595.32,601.96,587.7,594.88,2012-10-31
596.54,603,594.17,598.22,2012-11-01
576.8,596.95,574.75,595.89,2012-11-02
584.621,587.77,577.6,583.515,2012-11-05
582.85,590.74,580.09,590.23,2012-11-06
558.002,574.54,555.75,573.835,2012-11-07
537.75,562.23,535.29,560.63,2012-11-08
547.06,554.88,533.72,540.42,2012-11-09
542.83,554.5,538.65,554.15,2012-11-12
542.898,550.48,536.36,538.91,2012-11-13
536.88,547.45,536.18,545.5,2012-11-14
525.62,539.5,522.62,537.53,2012-11-15
527.678,530,505.75,525.2,2012-11-16
565.73,567.5,539.88,540.71,2012-11-19
560.913,571.95,554.58,571.91,2012-11-20
561.7,567.37,556.6,564.25,2012-11-21
571.5,572,562.6,567.17,2012-11-23
589.53,590,573.71,575.9,2012-11-26
584.78,590.42,580.1,589.55,2012-11-27
582.94,585.8,572.26,577.27,2012-11-28
589.36,594.25,585.25,590.215,2012-11-29
585.28,588.4,582.68,586.79,2012-11-30
586.19,594.59,585.5,593.65,2012-12-03
575.845,581.8,572.13,581.8,2012-12-04
538.792,569.25,538.77,568.91,2012-12-05
547.245,553.31,518.63,528.94,2012-12-06
533.25,555.2,530,553.4,2012-12-07
529.821,538.51,521.58,525,2012-12-10
541.388,549.56,537.37,539.77,2012-12-11
539,548,536.27,547.77,2012-12-12
529.69,537.64,525.8,531.15,2012-12-13
509.794,518.132,505.58,514.75,2012-12-14
518.83,520,501.23,508.93,2012-12-17
533.9,534.9,520.25,525,2012-12-18
526.31,533.7,525.5,531.47,2012-12-19
521.73,530.2,518.88,530,2012-12-20
519.33,519.67,510.24,512.47,2012-12-21
520.168,524.25,518.71,520.35,2012-12-24
513,519.46,511.12,519,2012-12-26
515.06,516.25,504.66,513.54,2012-12-27
509.589,514.48,508.12,510.29,2012-12-28
532.173,535.4,509,510.53,2012-12-31
549.03,555,541.63,553.82,2013-01-02
542.096,549.67,541,547.88,2013-01-03
527,538.63,525.829,536.965,2013-01-04
523.9,529.3,515.2,522,2013-01-07
525.31,531.89,521.25,529.21,2013-01-08
517.1,525.005,515.99,522.5,2013-01-09
523.51,528.72,515.52,528.55,2013-01-10
520.3,525.32,519.02,521,2013-01-11
501.75,507.5,498.51,502.68,2013-01-14
485.92,498.99,483.38,498.3,2013-01-15
506.09,509.44,492.5,494.64,2013-01-16
502.68,510.75,502.03,510.31,2013-01-17
500,502.22,496.4,498.516,2013-01-18
504.77,507.88,496.63,504.56,2013-01-22
514.005,514.99,504.77,508.81,2013-01-23
450.5,465.73,450.25,460,2013-01-24
439.88,456.23,435,451.69,2013-01-25
449.83,453.21,435.86,437.825,2013-01-28
458.27,460.2,452.12,458.5,2013-01-29
456.83,462.6,454.5,457,2013-01-30
455.49,459.28,454.98,456.98,2013-01-31
453.62,459.48,448.35,459.11,2013-02-01
442.316,455.94,442,453.91,2013-02-04
457.844,459.74,442.22,444.05,2013-02-05
457.35,466.5,452.58,456.47,2013-02-06
468.22,470,454.12,463.25,2013-02-07
474.98,478.81,468.25,474,2013-02-08
479.93,484.94,473.25,476.5,2013-02-11
467.9,482.38,467.744,479.51,2013-02-12
467.01,473.64,463.22,467.21,2013-02-13
466.59,471.64,464.02,464.52,2013-02-14
460.16,470.16,459.92,468.85,2013-02-15
459.99,462.73,453.85,461.1,2013-02-19
448.85,457.69,448.8,457.69,2013-02-20
446.06,449.17,442.82,446,2013-02-21
450.81,451.6,446.6,449.25,2013-02-22
442.8,455.12,442.57,453.85,2013-02-25
448.97,451.54,437.66,443.82,2013-02-26
444.57,452.44,440.65,448.43,2013-02-27
441.4,447.87,441.4,444.05,2013-02-28
430.47,438.18,429.98,438,2013-03-01
420.05,428.2,419,427.8,2013-03-04
431.144,435.19,420.75,421.48,2013-03-05
425.662,435.25,424.43,434.51,2013-03-06
430.582,432.01,421.06,424.5,2013-03-07
431.72,435.43,428.61,429.8,2013-03-08
437.87,439.01,425.14,429.75,2013-03-11
428.43,438.88,427.57,435.6,2013-03-12
428.35,434.5,425.36,428.45,2013-03-13
432.5,434.64,430.45,432.83,2013-03-14
443.66,444.23,437.25,437.93,2013-03-15
455.72,457.46,441.2,441.45,2013-03-18
454.49,460.97,448.5,459.5,2013-03-19
452.08,457.63,449.59,457.42,2013-03-20
452.73,457.98,450.1,450.22,2013-03-21
461.91,462.1,453.11,454.58,2013-03-22
463.58,469.95,461.78,464.69,2013-03-25
461.136,465.84,460.53,465.44,2013-03-26
452.08,456.8,450.73,456.46,2013-03-27
442.66,451.819,441.62,449.82,2013-03-28
428.91,443.698,427.74,441.9,2013-04-01
