date,NASDAQ Composite (index),Dow Jones Industrials (index),highlight,annotate
16/02/1989,405.7,2311.43,,
23/02/1989,403.07,2289.46,,
02/03/1989,402.53,2265.71,,
09/03/1989,405.67,2291.43,,
16/03/1989,409.51,2340.71,,
23/03/1989,400.94,2243.04,,
30/03/1989,404.56,2281.34,,
06/04/1989,408.2,2291.97,,
13/04/1989,413.86,2296,,
20/04/1989,421.51,2377.38,,
27/04/1989,426.18,2418.99,,
04/05/1989,429.23,2384.9,,
11/05/1989,430.63,2382.88,,
18/05/1989,439.81,2470.12,,
25/05/1989,442.89,2482.59,,
01/06/1989,448.32,2490.63,,
08/06/1989,453.99,2516.91,,
15/06/1989,447.1,2475,,
22/06/1989,445.33,2482.17,,
29/06/1989,437.91,2458.27,,
06/07/1989,439.57,2462.44,,
13/07/1989,447.89,2538.32,,
20/07/1989,449.24,2575.49,,
27/07/1989,452.48,2635.43,,
03/08/1989,456.93,2661.61,,
10/08/1989,463.55,2712.63,,
17/08/1989,460.83,2679.63,,
24/08/1989,465.88,2734.64,,
31/08/1989,469.33,2737.27,,
07/09/1989,469.68,2706.88,,
14/09/1989,468.78,2664.89,,
21/09/1989,467,2680.28,,
28/09/1989,471.14,2694.91,,
05/10/1989,480.66,2773.56,,
12/10/1989,482.19,2759.84,,
19/10/1989,470.8,2683.2,,
26/10/1989,458.15,2613.73,,
02/11/1989,453.14,2631.56,,
09/11/1989,454.07,2603.69,,
16/11/1989,455.28,2635.66,,
23/11/1989,455.14,2656.78,,
30/11/1989,456.09,2706.27,,
07/12/1989,456.31,2720.78,,
14/12/1989,447.48,2753.63,,
21/12/1989,441.09,2691.13,,
28/12/1989,449.98,2732.3,,
04/01/1990,459.39,2796.08,,
11/01/1990,448.86,2760.67,,
18/01/1990,437.52,2666.38,,
25/01/1990,425.24,2561.04,,
01/02/1990,417.76,2586.26,,
08/02/1990,427.32,2644.37,,
15/02/1990,429.61,2649.55,,
22/02/1990,422.75,2574.77,,
01/03/1990,427.22,2635.59,,
08/03/1990,436.5,2696.17,,
15/03/1990,438.06,2695.72,,
22/03/1990,434.51,2695.72,,
29/03/1990,435.42,2727.7,,
05/04/1990,433.42,2721.17,,
12/04/1990,436.31,2751.8,,
19/04/1990,429,2711.94,,
26/04/1990,421.06,2676.58,,
03/05/1990,425.44,2696.17,,
10/05/1990,433.2,2738.51,,
17/05/1990,445.74,2831.71,,
24/05/1990,458.29,2855.55,,
31/05/1990,458.97,2876.66,,
07/06/1990,464.09,2897.33,,
14/06/1990,467.1,2928.22,,
21/06/1990,461.27,2901.73,,
28/06/1990,460.38,2878.71,,
05/07/1990,459.19,2879.21,,
12/07/1990,467.17,2969.8,,
19/07/1990,458.17,2993.81,,
26/07/1990,445.43,2920.79,,
02/08/1990,428.89,2864.6,,
09/08/1990,412.98,2758.91,,
16/08/1990,402.27,2681.44,,
23/08/1990,360.22,2483.42,,
30/08/1990,378.68,2593.32,,
06/09/1990,378.78,2596.29,,
13/09/1990,376.18,2582.67,,
20/09/1990,364.43,2518.32,,
27/09/1990,341.19,2427.48,,
04/10/1990,349.89,2516.83,,
11/10/1990,325.61,2365.1,,
18/10/1990,334.03,2452.72,,
25/10/1990,339.74,2484.16,,
01/11/1990,330.6,2454.95,,
08/11/1990,336.37,2443.81,,
15/11/1990,354.46,2545.05,,
22/11/1990,348.77,2539.36,,
29/11/1990,355.75,2518.81,,
06/12/1990,372.29,2602.48,,
13/12/1990,371.5,2614.36,,
20/12/1990,372.3,2629.46,,
27/12/1990,371.05,2625.5,,
03/01/1991,367.51,2573.51,,
10/01/1991,361.92,2498.76,,
17/01/1991,375.81,2623.51,,
24/01/1991,391.33,2643.07,,
31/01/1991,414.2,2736.39,,
07/02/1991,435.01,2810.64,,
14/02/1991,444.31,2877.23,,
21/02/1991,446.38,2891.83,,
28/02/1991,453.05,2882.18,,
07/03/1991,475.74,2963.37,,
14/03/1991,467.79,2952.23,,
21/03/1991,464.6,2855.45,,
28/03/1991,482.3,2913.86,,
04/04/1991,497.57,2924.5,,
11/04/1991,499.31,2905.45,,
18/04/1991,506.62,2999.26,,
25/04/1991,496.03,2921.04,,
02/05/1991,491.13,2938.61,,
09/05/1991,497.81,2971.15,,
16/05/1991,481.77,2894.01,,
23/05/1991,489.6,2900.04,,
30/05/1991,503.19,3000.45,,
06/06/1991,502.94,2994.86,,
13/06/1991,491.14,2965.12,,
20/06/1991,485.88,2953.94,,
27/06/1991,476.24,2934.93,,
04/07/1991,474.32,2934.7,,
11/07/1991,488.37,2959.75,,
18/07/1991,496.8,3016.32,,
25/07/1991,490.28,2980.1,,
01/08/1991,504.15,3017.67,,
08/08/1991,509.39,3013.86,,
15/08/1991,515.67,2998.43,,
22/08/1991,518.3,3007.38,,
29/08/1991,526.39,3049.64,,
05/09/1991,516.93,3008.5,,
12/09/1991,521.13,3007.83,,
19/09/1991,522.67,3024.37,,
26/09/1991,526.94,3017.22,,
03/10/1991,520.51,2984.79,,
10/10/1991,515.94,2976.52,,
17/10/1991,536.27,3053,,
24/10/1991,528.75,3016.32,,
31/10/1991,542.98,3069.1,,
07/11/1991,545.28,3054.11,,
14/11/1991,554.84,3063.51,,
21/11/1991,530.33,2932.69,,
28/11/1991,522.78,2900.04,,
05/12/1991,534.03,2889.09,,
12/12/1991,536.02,2895.13,,
19/12/1991,534.53,2914.36,,
26/12/1991,559.3,3082.96,,
02/01/1992,586.45,3172.41,,
09/01/1992,619.8,3209.53,,
16/01/1992,627.34,3249.55,,
23/01/1992,622.86,3226.74,,
30/01/1992,621.37,3244.86,,
06/02/1992,637.67,3255.59,,
13/02/1992,639.1,3246.65,,
20/02/1992,632.23,3280.63,,
27/02/1992,633.95,3269.45,,
05/03/1992,621.97,3241.5,,
12/03/1992,615.92,3208.63,,
19/03/1992,625.96,3261.4,,
26/03/1992,615.4,3267.67,,
02/04/1992,593.82,3234.12,,
09/04/1992,586.75,3224.96,,
16/04/1992,591.81,3366.5,,
23/04/1992,576.05,3348.61,,
30/04/1992,578.68,3359.12,,
07/05/1992,587.16,3363.37,,
14/05/1992,576.46,3368.88,,
21/05/1992,579.1,3378.71,,
28/05/1992,580.49,3398.43,,
04/06/1992,588.26,3399.73,,
11/06/1992,567.68,3351.51,,
18/06/1992,549.17,3274.12,,
25/06/1992,548.2,3284.01,,
02/07/1992,563.35,3330.29,,
09/07/1992,564.75,3324.08,,
16/07/1992,576.19,3361.63,,
23/07/1992,565.24,3290.04,,
30/07/1992,578.8,3391.89,,
06/08/1992,574.02,3340.56,,
13/08/1992,570.99,3313.27,,
20/08/1992,567.86,3304.89,,
27/08/1992,563.27,3254.64,,
03/09/1992,574.88,3292.2,,
10/09/1992,581.24,3305.16,,
17/09/1992,587.82,3315.7,,
24/09/1992,585.93,3287.87,,
01/10/1992,578.33,3254.37,,
08/10/1992,573.88,3176.03,,
15/10/1992,578.64,3174.68,,
22/10/1992,597.12,3200.88,,
29/10/1992,605.82,3246.27,,
05/11/1992,614.08,3243.84,,
12/11/1992,634.37,3239.79,,
19/11/1992,638.57,3209.53,,
26/11/1992,648.33,3266.26,,
03/12/1992,656.36,3276.53,,
10/12/1992,658.93,3312.19,,
17/12/1992,658.46,3269.23,,
24/12/1992,665.88,3326.24,,
31/12/1992,676.95,3301.11,,
07/01/1993,678.21,3268.96,,
14/01/1993,695.7,3267.88,,
21/01/1993,700.77,3253.02,,
28/01/1993,694.67,3306.25,,
04/02/1993,708.85,3416.74,,
11/02/1993,695.88,3422.69,,
18/02/1993,662.45,3302.19,,
25/02/1993,667.07,3365.14,,
04/03/1993,680.73,3398.91,,
11/03/1993,694.28,3457,,
18/03/1993,687.41,3465.64,,
25/03/1993,681.01,3461.32,,
01/04/1993,686.64,3439.44,,
08/04/1993,666.33,3396.48,,
15/04/1993,670.32,3455.92,,
22/04/1993,663.51,3429.17,,
29/04/1993,658.45,3425.12,,
06/05/1993,680.04,3441.9,,
13/05/1993,675.64,3447.99,,
20/05/1993,697.43,3523.28,,
27/05/1993,704.59,3554.83,,
03/06/1993,706.22,3544.87,,
10/06/1993,688.05,3491.72,,
17/06/1993,695.94,3521.89,,
24/06/1993,688.72,3490.61,,
01/07/1993,703.59,3510.54,,
08/07/1993,702.71,3514.42,,
15/07/1993,708.69,3550.93,,
22/07/1993,695.52,3525.22,,
29/07/1993,707.24,3567.42,,
05/08/1993,715.5,3548.97,,
12/08/1993,717.12,3569.09,,
19/08/1993,730.48,3612.13,,
26/08/1993,731.39,3648.18,,
02/09/1993,748.65,3626.1,,
09/09/1993,737.71,3589.49,,
16/09/1993,739.8,3630.85,,
23/09/1993,752.26,3539.75,,
30/09/1993,762.78,3555.12,,
07/10/1993,762.49,3583.63,,
14/10/1993,785.41,3621.63,,
21/10/1993,771.28,3636.16,,
28/10/1993,773.49,3687.86,,
04/11/1993,757.26,3624.98,,
11/11/1993,778.98,3662.43,,
18/11/1993,754.34,3685.34,,
25/11/1993,753.18,3687.58,,
02/12/1993,766.73,3702.11,,
09/12/1993,761.49,3729.78,,
16/12/1993,755.53,3726.14,,
23/12/1993,758.7,3757.72,,
30/12/1993,771.08,3775.88,,
06/01/1994,780.41,3803.88,,
13/01/1994,787.81,3842.43,,
20/01/1994,793.03,3891.96,,
27/01/1994,792.88,3926.3,,
03/02/1994,797.79,3967.66,,
10/02/1994,783.42,3895.34,,
17/02/1994,790.24,3922.64,,
24/02/1994,779.24,3839.9,,
03/03/1994,784.58,3824.42,,
10/03/1994,789.09,3830.61,,
17/03/1994,803.85,3865.14,,
24/03/1994,786.68,3821.09,,
31/03/1994,743.46,3635.96,,
07/04/1994,755.17,3693.26,,
14/04/1994,727.31,3663.25,,
21/04/1994,718.74,3652.54,,
28/04/1994,731.69,3668.31,,
05/05/1994,740.55,3695.97,,
12/05/1994,719.61,3652.84,,
19/05/1994,727.31,3758.98,,
26/05/1994,731.64,3753.45,,
02/06/1994,739.5,3758.98,,
09/06/1994,728.88,3753.14,,
16/06/1994,734.97,3811.34,,
23/06/1994,700.85,3699.09,,
30/06/1994,705.96,3624.96,,
07/07/1994,706.53,3688.42,,
14/07/1994,721.56,3739.24,,
21/07/1994,715.03,3732.44,,
28/07/1994,712.43,3730.83,,
04/08/1994,720.18,3765.79,,
11/08/1994,728.2,3750.9,,
18/08/1994,742.17,3755.43,,
25/08/1994,754.8,3829.89,,
01/09/1994,758.95,3901.44,,
08/09/1994,769.3,3908.45,,
15/09/1994,778.66,3953.87,,
22/09/1994,760.44,3837.13,,
29/09/1994,759.34,3854.62,,
06/10/1994,744.19,3775.56,,
13/10/1994,767.89,3889.95,,
20/10/1994,768.24,3911.14,,
27/10/1994,767.47,3875.15,,
03/11/1994,772.1,3845.88,,
10/11/1994,764.38,3821.99,,
17/11/1994,765.84,3828.04,,
24/11/1994,736.7,3674.63,,
01/12/1994,741.19,3700.87,,
08/12/1994,719.12,3685.73,,
15/12/1994,730.68,3765.47,,
22/12/1994,739.34,3814.92,,
29/12/1994,749.53,3833.43,,
05/01/1995,745.66,3850.92,,
12/01/1995,756.51,3859,,
19/01/1995,768.55,3882.21,,
26/01/1995,757.56,3870.44,,
02/02/1995,763.64,3870.77,,
09/02/1995,785.44,3932.68,,
16/02/1995,793.31,3987.52,,
23/02/1995,791.35,4003.33,,
02/03/1995,793.68,3979.92,,
09/03/1995,796.24,3983.38,,
16/03/1995,809.34,4069.15,,
23/03/1995,811.39,4087.83,,
30/03/1995,816.86,4172.56,,
06/04/1995,813.8,4205.41,,
13/04/1995,832.64,4208.18,,
20/04/1995,819.01,4230.66,,
27/04/1995,840.95,4314.7,,
04/05/1995,846.75,4359.66,,
11/05/1995,853.83,4411.19,,
18/05/1995,864.06,4340.63,,
25/05/1995,877.32,4412.22,,
01/06/1995,868.82,4472.75,,
08/06/1995,886.13,4458.57,,
15/06/1995,902.68,4496.26,,
22/06/1995,940.09,4589.64,,
29/06/1995,926.81,4550.56,,
06/07/1995,952.93,4664,,
13/07/1995,994.15,4727.48,,
20/07/1995,960.57,4641.55,,
27/07/1995,1010.66,4732.77,,
03/08/1995,982.7,4701.42,,
10/08/1995,1000.61,4643.66,,
17/08/1995,1029.24,4630.63,,
24/08/1995,1020.93,4580.62,,
31/08/1995,1020.11,4610.56,,
07/09/1995,1051.08,4669.72,,
14/09/1995,1066.96,4801.8,,
21/09/1995,1058.51,4767.4,,
28/09/1995,1047.05,4787.63,,
05/10/1995,1014.2,4762.71,,
12/10/1995,1015.63,4764.87,,
19/10/1995,1046.97,4802.45,,
26/10/1995,1017.57,4703.82,,
02/11/1995,1057.32,4808.59,,
09/11/1995,1065.59,4864.22,,
16/11/1995,1044.48,4969.36,,
23/11/1995,1021.24,5041.61,,
30/11/1995,1059.2,5074.49,,
07/12/1995,1053.17,5159.39,,
14/12/1995,1038.19,5182.15,,
21/12/1995,1040.64,5096.52,,
28/12/1995,1042.22,5095.8,,
04/01/1996,1029.82,5173.84,,
11/01/1996,1011.1,5065.09,,
18/01/1996,1007.24,5124.34,,
25/01/1996,1035.95,5216.83,,
01/02/1996,1069.46,5405.05,,
08/02/1996,1093.17,5539.45,,
15/02/1996,1090.54,5551.37,,
22/02/1996,1117.11,5608.45,,
29/02/1996,1100.05,5485.62,,
07/03/1996,1093.12,5641.69,,
14/03/1996,1091.07,5586.05,,
21/03/1996,1099.79,5626.88,,
28/03/1996,1094.83,5630.85,,
04/04/1996,1118.21,5682.88,,
11/04/1996,1097.14,5487.06,,
18/04/1996,1136.3,5551.73,,
25/04/1996,1184.17,5566.91,,
02/05/1996,1178.33,5498.26,,
09/05/1996,1187.82,5475.14,,
16/05/1996,1239.31,5635.04,,
23/05/1996,1248.65,5762.11,,
30/05/1996,1233.48,5693.41,,
06/06/1996,1232.52,5667.18,,
13/06/1996,1225.65,5657.95,,
20/06/1996,1167.34,5659.42,,
27/06/1996,1166.01,5677.52,,
04/07/1996,1181.6,5703.01,,
11/07/1996,1106.36,5520.53,,
18/07/1996,1109.82,5464.18,,
25/07/1996,1062.39,5422.01,,
01/08/1996,1098.85,5594.75,,
08/08/1996,1137.51,5713.49,,
15/08/1996,1134.69,5665.77,,
22/08/1996,1143.96,5733.46,,
29/08/1996,1145.03,5647.65,,
05/09/1996,1125.66,5606.96,,
12/09/1996,1165.81,5771.93,,
19/09/1996,1212.09,5867.74,,
26/09/1996,1227.98,5868.85,,
03/10/1996,1233.09,5932.85,,
10/10/1996,1236.97,5921.67,,
17/10/1996,1241.96,6059.19,,
24/10/1996,1227,5992.48,,
31/10/1996,1221.51,6029.38,,
07/11/1996,1254.14,6206.03,,
14/11/1996,1270.36,6312.99,,
21/11/1996,1258.08,6418.46,,
28/11/1996,1287.32,6499.34,,
05/12/1996,1300.12,6437.1,,
12/12/1996,1298.33,6303.71,,
19/12/1996,1295.86,6473.63,,
26/12/1996,1294.57,6546.68,,
02/01/1997,1280.7,6442.49,,
09/01/1997,1326.2,6625.67,,
16/01/1997,1340.46,6765.36,,
23/01/1997,1378.37,6755.74,,
30/01/1997,1371.02,6823.86,,
06/02/1997,1346.4,6773.06,,
13/02/1997,1370.81,7022.43,,
20/02/1997,1347.4,6927.38,,
27/02/1997,1312.66,6925.07,,
06/03/1997,1315.43,6944.7,,
13/03/1997,1293.28,6878.89,,
20/03/1997,1259.26,6820.27,,
27/03/1997,1249.51,6740.58,,
03/04/1997,1213.76,6477.35,,
10/04/1997,1235.77,6540.04,,
17/04/1997,1217.07,6658.6,,
24/04/1997,1228.1,6792.25,,
01/05/1997,1270.5,6976.47,,
08/05/1997,1330.83,7136.62,,
15/05/1997,1353.58,7333.54,,
22/05/1997,1372.6,7258.13,,
29/05/1997,1403.04,7330.18,,
05/06/1997,1390.05,7305.28,,
12/06/1997,1411.32,7711.46,,
19/06/1997,1447.14,7777.06,,
26/06/1997,1436.38,7654.24,,
03/07/1997,1467.61,7895.8,,
10/07/1997,1490.93,7886.76,,
17/07/1997,1568.85,8020.76,,
24/07/1997,1569.13,8116.92,,
31/07/1997,1593.81,8222.61,,
07/08/1997,1624.18,8188,,
14/08/1997,1586.69,7942.02,,
21/08/1997,1607.36,7893.94,,
28/08/1997,1581.32,7694.42,,
04/09/1997,1624.63,7867.23,,
11/09/1997,1639.86,7660.98,,
18/09/1997,1670.02,7922.72,,
25/09/1997,1678.89,7848.01,,
02/10/1997,1702.41,8027.52,,
09/10/1997,1745.85,8061.41,,
16/10/1997,1699.66,7938.87,,
23/10/1997,1671.25,7847.76,,
30/10/1997,1570.41,7381.67,,
06/11/1997,1623.44,7683.23,,
13/11/1997,1559.25,7487.76,,
20/11/1997,1626.56,7826.6,,
27/11/1997,1594.5,7794.77,,
04/12/1997,1613.42,8050.16,,
11/12/1997,1558.54,7848.98,,
18/12/1997,1523.19,7846.49,,
25/12/1997,1499.53,7660.12,,
01/01/1998,1570.35,7908.24,,
08/01/1998,1555.54,7802.62,,
15/01/1998,1547.06,7691.76,,
22/01/1998,1576.51,7730.87,,
29/01/1998,1619.49,7973.01,,
05/02/1998,1676.9,8117.24,,
12/02/1998,1714.34,8369.59,,
19/02/1998,1727.01,8375.57,,
26/02/1998,1777.11,8490.66,,
05/03/1998,1711.92,8444.32,,
12/03/1998,1764.06,8659.55,,
19/03/1998,1799.98,8803.04,,
26/03/1998,1828.54,8846.88,,
02/04/1998,1852.96,8986.64,,
09/04/1998,1820.24,8994.86,,
16/04/1998,1858.24,9076.56,,
23/04/1998,1881.39,9143.32,,
30/04/1998,1868.41,9063.36,,
07/05/1998,1835.14,8976.67,,
14/05/1998,1865.36,9172.22,,
21/05/1998,1820.99,9132.36,,
28/05/1998,1794.62,8970.2,,
04/06/1998,1769.95,8870.55,,
11/06/1998,1749.75,8811.76,,
18/06/1998,1772.7,8813,,
25/06/1998,1863.25,8935.57,,
02/07/1998,1894,9025.25,,
09/07/1998,1939.82,9089.77,,
16/07/1998,2000.56,9328.18,,
23/07/1998,1935.22,8932.97,,
30/07/1998,1919.58,9026.95,,
06/08/1998,1829.51,8577.67,,
13/08/1998,1802.54,8459.5,,
20/08/1998,1832.45,8611.4,,
27/08/1998,1686.41,8165.99,,
03/09/1998,1571.86,7682.22,,
10/09/1998,1585.33,7615.55,,
17/09/1998,1646.25,7873.77,,
24/09/1998,1720.34,8001.98,,
01/10/1998,1612.33,7632.53,,
08/10/1998,1419.12,7731.91,,
15/10/1998,1611.01,8299.36,,
22/10/1998,1702.64,8533.14,,
29/10/1998,1757.19,8495.03,,
05/11/1998,1837.1,8915.47,,
12/11/1998,1851.06,8829.75,,
19/11/1998,1919.68,9056.05,,
26/11/1998,1985.21,9314.28,,
03/12/1998,1954.33,8879.68,,
10/12/1998,2015.96,8841.58,,
17/12/1998,2043.88,8875.82,,
24/12/1998,2163.03,9217.99,,
31/12/1998,2192.69,9181.43,,
07/01/1999,2326.09,9537.76,,
14/01/1999,2276.82,9120.93,,
21/01/1999,2344.72,9264.07,,
28/01/1999,2477.34,9281.33,,
04/02/1999,2410.07,9304.5,,
11/02/1999,2405.55,9363.45,,
18/02/1999,2260.55,9298.63,,
25/02/1999,2326.82,9366.34,,
04/03/1999,2292.89,9467.4,,
11/03/1999,2412.25,9897.44,,
18/03/1999,2462.96,9997.62,,
25/03/1999,2434.8,9836.39,,
01/04/1999,2493.37,9832.5,,
08/04/1999,2573.39,10197.7,,
15/04/1999,2521.77,10462.72,,
22/04/1999,2561.61,10727.18,,
29/04/1999,2528.44,10878.38,,
06/05/1999,2472.28,10946.82,,
13/05/1999,2582,11107.19,,
20/05/1999,2542.23,10866.74,,
27/05/1999,2419.15,10466.93,,
03/06/1999,2403.32,10663.7,,
10/06/1999,2484.62,10621.27,,
17/06/1999,2544.15,10841.63,,
24/06/1999,2553.99,10534.84,,
01/07/1999,2706.18,11066.43,,
08/07/1999,2771.86,11126.9,,
15/07/1999,2839.37,11186.42,,
22/07/1999,2684.44,10969.22,,
29/07/1999,2640.01,10791.29,,
05/08/1999,2565.83,10793.82,,
12/08/1999,2549.49,10789.39,,
19/08/1999,2621.43,10963.84,,
26/08/1999,2774.62,11198.45,,
02/09/1999,2734.24,10843.21,,
09/09/1999,2852.02,11079.4,,
16/09/1999,2806.72,10737.47,,
23/09/1999,2749.83,10318.6,,
30/09/1999,2746.16,10336.96,,
07/10/1999,2860.7,10537.06,,
14/10/1999,2806.84,10286.62,,
21/10/1999,2801.95,10297.7,,
28/10/1999,2875.22,10622.54,,
04/11/1999,3055.95,10639.65,,
11/11/1999,3197.29,10595.3,,
18/11/1999,3347.11,11035.7,,
25/11/1999,3420.5,11008.18,,
02/12/1999,3452.78,11039.07,,
09/12/1999,3594.17,11134.79,,
16/12/1999,3715.06,11244.89,,
23/12/1999,3969.44,11405.76,,
30/12/1999,4036.87,11452.86,,
06/01/2000,3727.13,11253.27,,
13/01/2000,3957.21,11582.44,,
20/01/2000,4189.51,11351.3,,
27/01/2000,4039.56,11028.03,,
03/02/2000,4210.98,11013.45,,
10/02/2000,4485.63,10643.64,,
17/02/2000,4548.92,10514.57,,
24/02/2000,4617.65,10092.64,,
02/03/2000,4754.51,10164.92,,
09/03/2000,5046.86,10010.73,,
16/03/2000,4717.39,10630.61,,
23/03/2000,4940.61,11119.86,,
30/03/2000,4457.89,10980.25,,
06/04/2000,4267.56,11114.28,,
13/04/2000,3676.78,10923.55,,
20/04/2000,3643.88,10844.06,,
27/04/2000,3774.03,10888.11,,
04/05/2000,3720.24,10412.5,,
11/05/2000,3499.58,10545.97,,
18/05/2000,3538.71,10777.28,,
25/05/2000,3205.35,10323.92,,
01/06/2000,3582.5,10652.2,,
08/06/2000,3825.56,10668.73,,
15/06/2000,3845.74,10714.83,,
22/06/2000,3936.84,10376.12,,
29/06/2000,3877.23,10398.04,,
06/07/2000,3960.57,10481.48,,
13/07/2000,4174.86,10788.72,,
20/07/2000,4184.56,10843.87,,
27/07/2000,3842.23,10586.13,,
03/08/2000,3759.88,10706.58,,
10/08/2000,3759.99,10908.76,,
17/08/2000,3940.87,11055.64,,
24/08/2000,4053.28,11182.74,,
31/08/2000,4206.35,11215.1,,
07/09/2000,4098.35,11259.87,,
14/09/2000,3913.86,11087.47,,
21/09/2000,3828.87,10765.52,,
28/09/2000,3778.32,10824.06,,
05/10/2000,3472.1,10724.92,,
12/10/2000,3074.68,10034.58,,
19/10/2000,3418.6,10142.98,,
26/10/2000,3272.18,10380.12,,
02/11/2000,3429.02,10880.51,,
09/11/2000,3200.35,10834.25,,
16/11/2000,3031.88,10656.03,,
23/11/2000,2755.34,10399.32,,
30/11/2000,2597.93,10414.49,,
07/12/2000,2752.66,10617.36,,
14/12/2000,2728.51,10674.99,,
21/12/2000,2340.12,10487.29,,
28/12/2000,2557.76,10868.76,,
04/01/2001,2566.83,10912.41,,
11/01/2001,2640.57,10609.55,,
18/01/2001,2768.49,10678.28,,
25/01/2001,2754.28,10729.52,,
01/02/2001,2782.79,10983.62,,
08/02/2001,2562.06,10880.55,,
15/02/2001,2552.91,10891.02,,
22/02/2001,2244.96,10526.81,,
01/03/2001,2183.37,10450.14,,
08/03/2001,2168.73,10858.25,,
15/03/2001,1940.71,10031.28,,
22/03/2001,1897.7,9389.48,,
29/03/2001,1820.57,9799.06,,
05/04/2001,1785,9918.05,,
12/04/2001,1961.43,10126.94,,
19/04/2001,2182.14,10693.71,,
26/04/2001,2034.88,10692.35,,
03/05/2001,2146.2,10796.65,,
10/05/2001,2128.86,10910.44,,
17/05/2001,2193.68,11248.58,,
24/05/2001,2282.02,11122.42,,
31/05/2001,2110.49,10911.94,,
07/06/2001,2264,11090.74,,
14/06/2001,2044.07,10690.13,,
21/06/2001,2058.76,10715.43,,
28/06/2001,2125.46,10566.21,,
05/07/2001,2080.11,10479.86,,
12/07/2001,2075.74,10478.99,,
19/07/2001,2046.59,10610,,
26/07/2001,2022.96,10455.63,,
02/08/2001,2087.38,10551.18,,
09/08/2001,1963.32,10298.56,,
16/08/2001,1930.32,10392.52,,
