name,val1,val2,change,group,label
"Chicago-Naperville-Elgin, IL-IN-WI",75967,67917,-10.6,,
"Montgomery, AL",67757,60497,-10.7,,
"Colorado Springs, CO",74434,66472,-10.7,,
"Lake Havasu City-Kingman, AZ",52686,46986,-10.8,,
"Santa Maria-Santa Barbara, CA",69041,61576,-10.8,,
"Albuquerque, NM",66067,58865,-10.9,,
"Naples-Immokalee-Marco Island, FL",78542,69911,-11,,
"Canton-Massillon, OH",70467,62640,-11.1,,
"Santa Cruz-Watsonville, CA",68844,61233,-11.1,,
"Decatur, AL",69744,61941,-11.2,,
"St. Louis, MO-IL",82228,72911,-11.3,,
"Muncie, IN",61990,55005,-11.3,,
"Tampa-St. Petersburg-Clearwater, FL",64523,57151,-11.4,,
"Jacksonville, FL",70478,62448,-11.4,,
"Chattanooga, TN-GA",68394,60561,-11.5,,
"Lakeland-Winter Haven, FL",60402,53419,-11.6,,
"Shreveport-Bossier City, LA",62832,55441,-11.8,,
"Springfield, MO",63717,56146,-11.9,,
"Racine, WI",82181,72306,-12,,
"Akron, OH",77688,68191,-12.2,,
"Fresno, CA",53349,46830,-12.2,,
"Santa Fe, NM",77382,67840,-12.3,,
"Wichita, KS",74894,65717,-12.3,,
"Nashville-Davidson--Murfreesboro--Franklin, TN",75471,66093,-12.4,,
"Saginaw, MI",69030,60486,-12.4,,
"Gainesville, GA",73718,64516,-12.5,,
"Birmingham-Hoover, AL",70026,61295,-12.5,,
"Stockton-Lodi, CA",61853,54038,-12.6,,
"Memphis, TN-MS-AR",68564,59841,-12.7,,
"Gadsden, AL",60976,53231,-12.7,,
"El Centro, CA",49200,42969,-12.7,,
"Erie, PA",63263,55166,-12.8,,
"Youngstown-Warren-Boardman, OH-PA",67412,58683,-12.9,,
"Beaumont-Port Arthur, TX",62538,54365,-13.1,,
"Rochester, NY",72711,63220,-13.1,,
"Indianapolis-Carmel-Anderson, IN",78492,68041,-13.3,,
"Miami-Fort Lauderdale-West Palm Beach, FL",60761,52686,-13.3,,
"Visalia-Porterville, CA",50740,43933,-13.4,,
"Raleigh, NC",85784,74283,-13.4,,
"Lansing-East Lansing, MI",75117,64756,-13.8,,
"Yuma, AZ",52889,45511,-13.9,,
"Kansas City, MO-KS",81574,70243,-13.9,,
"Cleveland-Elyria, OH",78487,67598,-13.9,,
"Pueblo, CO",56783,48815,-14,,
"Toledo, OH",71680,61488,-14.2,,
"Merced, CA",52031,44657,-14.2,,
"Medford, OR",60860,52151,-14.3,,
"Champaign-Urbana, IL",68555,58776,-14.3,,
"Milwaukee-Waukesha-West Allis, WI",79736,68056,-14.6,,
"Clarksville, TN-KY",62146,53063,-14.6,,
"Orlando-Kissimmee-Sanford, FL",67149,57297,-14.7,,
"Las Vegas-Henderson-Paradise, NV",70185,59714,-14.9,,
"Kalamazoo-Portage, MI",71919,61232,-14.9,,
"Fayetteville, NC",64618,55016,-14.9,,
"Boise City, ID",71025,60357,-15,,
"Spartanburg, SC",69216,58739,-15.1,,
"Charlotte-Concord-Gastonia, NC-SC",77604,65771,-15.2,,
"Salinas, CA",68542,58116,-15.2,,
"Monroe, MI",80170,67868,-15.3,,
"Greenville-Anderson-Mauldin, SC",67922,57522,-15.3,,
"Ann Arbor, MI",83378,70566,-15.4,,
"Janesville-Beloit, WI",77897,65838,-15.5,,
"Muskegon, MI",66672,56243,-15.6,,
"Monroe, LA",59838,50422,-15.7,,
"Niles-Benton Harbor, MI",68809,57993,-15.7,,
"Dayton, OH",74669,62715,-16,,
"Owensboro, KY",68626,57594,-16.1,,
"Grand Rapids-Wyoming, MI",78194,65310,-16.5,,
"Reno, NV",74113,61607,-16.9,,
"Eugene, OR",63067,52276,-17.1,,
"Atlanta-Sandy Springs-Roswell, GA",83531,69136,-17.2,,
"Tyler, TX",64739,53284,-17.7,,
"Fort Wayne, IN",76374,62706,-17.9,,
"Fort Collins, CO",79495,65166,-18,,
"Detroit-Warren-Dearborn, MI",80140,65641,-18.1,,
"Greensboro-High Point, NC",71300,58114,-18.5,,
"Rockford, IL",78139,63703,-18.5,,
"Mansfield, OH",68194,55544,-18.6,,
"Jackson, TN",73166,58876,-19.5,,
"Sheboygan, WI",78622,63319,-19.5,Worst,
"Winston-Salem, NC",73098,58693,-19.7,Worst,
"Jackson, MI",74783,59575,-20.3,Worst,
"Hickory-Lenoir-Morganton, NC",67817,53361,-21.3,Worst,
"Elkhart-Goshen, IN",73793,57818,-21.6,Worst,
"Michigan City-La Porte, IN",77371,59796,-22.7,Worst,
"Burlington, NC",67127,51278,-23.6,Worst,
"Rocky Mount, NC",64752,48832,-24.6,Worst,
"Goldsboro, NC",66035,48570,-26.4,Worst,
"Springfield, OH",73895,53957,-27,Worst,yes
